date,count_rate
2014-08-25,105.021
2014-08-26,105.230
2014-08-27,104.835
2014-08-28,104.378
2014-08-29,104.533
2014-08-30,104.338
2014-08-31,104.490
2014-09-01,104.560
2014-09-02,104.413
2014-09-03,104.751
2014-09-04,104.883
2014-09-05,103.385
2014-09-06,103.109
2014-09-07,101.390
2014-09-08,100.975
2014-09-09,101.288
2014-09-10,101.278
2014-09-11,101.271
2014-09-16,101.385
2014-09-17,102.110
2014-09-18,101.845
2014-09-19,103.199
2014-09-20,104.356
2014-09-21,105.609
2014-09-22,106.390
2014-09-23,106.100
2014-09-24,105.277
2014-09-25,104.261
2014-09-26,103.624
2014-09-27,103.385
2014-09-28,103.012
2014-09-29,102.629
2014-09-30,101.750
2014-10-01,101.699
2014-10-02,101.746
2014-10-03,102.076
2014-10-04,101.633
2014-10-05,101.490
2014-10-06,101.631
2014-10-07,101.909
2014-10-08,102.181
2014-10-09,102.495
2014-10-10,102.302
2014-10-11,102.602
2014-10-12,103.324
2014-10-13,103.326
2014-10-14,102.901
2014-10-15,104.374
2014-10-16,105.137
2014-10-17,105.674
2014-10-18,105.811
2014-10-19,105.308
2014-10-20,104.290
2014-10-21,103.106
2014-10-22,103.018
2014-10-23,103.477
2014-10-24,102.089
2014-10-25,101.550
2014-10-26,102.054
2014-10-27,101.051
2014-10-28,100.549
2014-10-29,101.265
2014-10-30,102.381
2014-10-31,102.330
2014-11-01,101.397
2014-11-02,100.751
2014-11-03,100.673
2014-11-04,100.018
2014-11-07,100.354
2014-11-08,100.353
2014-11-09,100.739
2014-11-12,100.344
2014-11-13,102.004
2014-11-14,102.724
2014-11-15,102.769
2014-11-16,102.911
2014-11-17,104.156
2014-11-18,105.017
2014-11-19,105.839
2014-11-20,105.975
2014-11-21,105.545
2014-11-22,104.574
2014-11-23,103.847
2014-11-24,103.172
2014-11-25,103.263
2014-11-26,103.667
2014-11-27,103.806
2014-11-28,103.718
2014-11-29,103.488
2014-11-30,103.086
2014-12-01,101.938
2014-12-11,100.676
2014-12-12,101.363
2014-12-13,102.095
2014-12-14,102.783
2014-12-15,103.859
2014-12-16,104.821
2014-12-17,105.958
2014-12-18,105.738
2014-12-19,104.779
2014-12-20,104.496
2014-12-21,103.123
2015-01-09,100.647
2015-01-10,101.908
2015-01-11,102.726
2015-01-12,103.339
2015-01-13,103.590
2015-01-14,103.998
2015-01-15,103.897
2015-01-16,103.119
2015-01-17,102.619
2015-01-18,102.656
2015-01-19,103.042
2015-01-20,103.474
2015-01-21,102.655
2015-01-22,102.156
2015-01-23,102.197
2015-01-24,101.978
2015-01-25,101.773
2015-01-26,100.270
2015-01-27,100.333
2015-01-28,100.181
2015-02-05,100.062
2015-02-06,100.160
2015-02-07,100.627
2015-02-08,100.937
2015-02-09,101.406
2015-02-10,101.970
2015-02-11,102.649
2015-02-12,103.061
2015-02-13,103.487
2015-02-14,103.283
2015-02-15,103.117
2015-02-16,102.495
2015-02-17,102.054
2015-02-18,101.214
2015-02-19,101.047
2015-02-20,101.478
2015-02-21,101.777
2015-02-22,101.242
2015-02-23,101.331
2015-02-24,101.167
2015-02-25,101.358
2015-02-26,101.536
2015-02-27,101.926
2015-02-28,101.977
2015-03-01,101.809
2015-03-02,100.818
2015-03-03,100.445
2015-03-04,100.580
2015-03-05,100.996
2015-03-06,101.131
2015-03-07,100.901
2015-03-08,101.038
2015-03-09,101.721
